Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total
49,-1,Ronghao Li - 烏梅子醬,57,34,,"8,525",+946,"61,351",-172,"502,573"
50,+11,Edan 呂爵安 - LOVERSE,107,16,,"7,941",+993,"55,723",+727,"1,292,184"
51,+7,Dear Jane - 到底發生過什麼事 (w/ 831),24,27,,"7,939",+751,"60,643",-735,"242,184"
52,=,Leo Ku - 飄流教室 (w/ Edan 呂爵安),300,8,,"7,934",+561,"56,039",+523,"4,075,765"
53,+7,JIN - The Astronaut,167,15,,"7,933",+976,"51,913",+591,"1,311,547"
54,=,"Yoga Lin - 我不是神,我只是平凡卻直拗愛著你的人",4,30,,"7,866",+569,"37,159","+7,866","37,159"
55,+4,"WeiBird - 如果可以 - 電影""月老""主題曲",497,4,,"7,842",+708,"56,121",+192,"6,568,461"
56,+7,MC 張天賦 - 乖乖報到,88,20,,"7,803",+932,"54,198","+1,464","981,848"
57,-2,NewJeans - Zero,15,24,,"7,780",+490,"63,245","-1,675","151,007"
58,-9,IVE - LOVE DIVE,377,8,,"7,718",+149,"53,280","+1,683","3,063,318"
59,-6,LE SSERAFIM - ANTIFRAGILE,183,12,,"7,604",+261,"53,763",+660,"1,945,197"
60,+4,Terence Lam - 小林不動產,55,7,,"7,602",+817,"54,049",+454,"721,203"
61,-5,NewJeans - Attention,260,33,,"7,575",+329,"54,339",+743,"2,266,229"
62,+8,陳卓賢 Ian - 鯨落,852,6,,"7,555","+1,066","51,300",+654,"9,599,463"
63,+6,Taylor Swift - Anti-Hero,179,8,,"7,549",+916,"52,161",+560,"2,053,298"
64,-13,Jimin - Like Crazy (English Version),23,16,,"7,467",+36,"59,009",-959,"223,417"
65,NEW,MC 張天賦 - 花海,1,65,,"7,377",,"7,377","+7,377","7,377"
